dataset,method,dim,ndcg@10,n_queries,recall@10,recall@100
trec-covid,mrl,128,0.9003091938661459,50,0.0248623378497939,0.18325071443902527
trec-covid,mrl,64,0.8398615737557779,50,0.023268993318007972,0.15807224585010554
trec-covid,mrl,32,0.6925878621325992,50,0.01852923089916035,0.12221764189571348
trec-covid,pca_in,512,0.9399262932025251,50,0.025157495563457716,0.20256319819611346
trec-covid,pca_in,256,0.9259006579853591,50,0.02458548528983552,0.1971115940274122
trec-covid,pca_in,128,0.898400657097171,50,0.02338735578361693,0.18111592700296414
trec-covid,pca_in,64,0.8615653077726865,50,0.022413995123340594,0.15972431380482224
trec-covid,pca_in,32,0.735965151873595,50,0.019174863086236928,0.13323815045001897
trec-covid,pca_ood,512,0.9390614824367519,50,0.025301916306984657,0.20055785735636808
trec-covid,pca_ood,256,0.9162146249101235,50,0.024618775860616015,0.19076890365242705
trec-covid,pca_ood,128,0.8968666630383626,50,0.0241014988691014,0.17362062546660872
trec-covid,pca_ood,64,0.7565043634100305,50,0.020342754572680134,0.13763141173284665
trec-covid,pca_ood,32,0.4934297092308855,50,0.013295275438010533,0.07985019431154966
webis-touche2020,full,4096,0.35962754852311196,49,0.23110357159875727,0.5897146192127071
webis-touche2020,mrl,512,0.35395667627468663,49,0.2301405355299355,0.5897819851766993
webis-touche2020,mrl,256,0.33641130057893875,49,0.2133000290066222,0.5664774707464735
webis-touche2020,mrl,128,0.30585462946776637,49,0.18724774803734381,0.5470477882734699
webis-touche2020,mrl,64,0.26277773523566195,49,0.16805036385220287,0.5106538678621625
webis-touche2020,mrl,32,0.2218021875931793,49,0.15163362667119318,0.4377424027895705
webis-touche2020,pca_in,512,0.3457343825323591,49,0.23094761164616126,0.5796200866759176
webis-touche2020,pca_in,256,0.33162770308255907,49,0.21909774659133002,0.5626638557951703
webis-touche2020,pca_in,128,0.2951083703674447,49,0.18464395650453735,0.5278709256382536
webis-touche2020,pca_in,64,0.24380615866619382,49,0.14157701426139324,0.45166978716257494
webis-touche2020,pca_in,32,0.18451019345341022,49,0.09905377015880255,0.32591572262220064
webis-touche2020,pca_ood,512,0.34644363746204926,49,0.22505427308563114,0.5801279336356201
webis-touche2020,pca_ood,256,0.3329813348067996,49,0.22109128119488233,0.5620124084228276
webis-touche2020,pca_ood,128,0.31430909562499565,49,0.19728192888444032,0.5308479981659375
webis-touche2020,pca_ood,64,0.27039770933625573,49,0.17113412593648905,0.46976964886510647
webis-touche2020,pca_ood,32,0.15997024975237767,49,0.09375425457583149,0.36485553242471624
quora,full,4096,0.8900741771816676,10000,0.9605574372130075,0.9974682750529279
quora,mrl,512,0.8879289678162829,10000,0.9590733886630227,0.9975218687320198
quora,mrl,256,0.8849071090960986,10000,0.9581931922313949,0.9965339892521715
quora,mrl,128,0.8774152267316644,10000,0.9523839933474135,0.9953567449972194
quora,mrl,64,0.8608670181359699,10000,0.9419107599444715,0.9918687416507531
quora,mrl,32,0.8206406685020567,10000,0.9090779904690124,0.9791392398545177
quora,pca_in,512,0.8844054158903273,10000,0.9573771722115693,0.9970668871544461
quora,pca_in,256,0.8761910957984644,10000,0.9533440936433988,0.996373684398548
quora,pca_in,128,0.8573581621210465,10000,0.9421280352367744,0.9936610202305008
quora,pca_in,64,0.8115670177223129,10000,0.9073372732398788,0.9829898186000652
quora,pca_in,32,0.6901800397327265,10000,0.8027456509415021,0.9361744323500104
quora,pca_ood,512,0.8851643263341125,10000,0.9583249747368926,0.9970399486091799
quora,pca_ood,256,0.8776785677186894,10000,0.9546362264673884,0.9963879166670342
quora,pca_ood,128,0.863198729324892,10000,0.9459651459405204,0.9942207377796077
quora,pca_ood,64,0.8356612719020468,10000,0.9248848046983694,0.9883347304436826
quora,pca_ood,32,0.7493806949632746,10000,0.8526604746921257,0.9584993427260416
