model,ambiguous,left,right
anthropic/claude-sonnet-5,0.2777777777777778,0.3402777777777778,0.3819444444444444
deepseek/deepseek-v4-pro,0.10416666666666667,0.24305555555555555,0.6527777777777778
google/gemini-3.5-flash,0.08333333333333333,0.1736111111111111,0.7430555555555556
openai/gpt-5.6-terra,0.3055555555555556,0.125,0.5694444444444444
qwen/qwen3.7-max,0.19444444444444445,0.1736111111111111,0.6319444444444444
x-ai/grok-4.5,0.25,0.1527777777777778,0.5972222222222222
z-ai/glm-5.2,0.20833333333333334,0.14583333333333334,0.6458333333333334
ALL MODELS,0.20337301587301587,0.19345238095238096,0.6031746031746031
