dataset,method,dim,quant,bytes,ndcg@10,n_queries,recall@10,recall@100
fiqa,mrl,512,binary_sym,64.0,0.3514108573446709,648,0.4226461766971025,0.6852171705180964
fiqa,mrl,256,binary,32.0,0.3219180486780286,648,0.38484668195316346,0.6610511445002185
fiqa,mrl,256,binary_sym,32.0,0.2672732246935103,648,0.33267392329892326,0.5740001168241909
fiqa,mrl,128,binary,16.0,0.2255603331326064,648,0.2822170841846768,0.5295715215854104
fiqa,mrl,128,binary_sym,16.0,0.1540579436419969,648,0.1979890008825194,0.4175351911463023
fiqa,pca_in,512,binary,64.0,0.39142855713427727,648,0.46828417638602826,0.7289970831637499
fiqa,pca_in,512,binary_sym,64.0,0.33470414005127114,648,0.39195233350325936,0.6136447828577459
fiqa,pca_in,256,binary,32.0,0.3722361670753359,648,0.44350142313105273,0.7184933636322525
fiqa,pca_in,256,binary_sym,32.0,0.29362253465740656,648,0.34787403954070617,0.611953799801022
fiqa,pca_in,128,binary,16.0,0.3137700500219627,648,0.38005584521788227,0.667570593843742
fiqa,pca_in,128,binary_sym,16.0,0.2290730653308275,648,0.2814357924311628,0.5434341507258175
scidocs,full,1536,int8,1536.0,0.20794501872047408,1000,0.21705000000000002,0.45328333333333337
scidocs,mrl,512,int8,512.0,0.19943055243053237,1000,0.20710000000000003,0.4359
scidocs,mrl,128,int8,128.0,0.1545318926684756,1000,0.16176666666666667,0.35085
scidocs,pca_in,512,int8,512.0,0.20297990835223026,1000,0.21200000000000002,0.45683333333333337
scidocs,pca_in,128,int8,128.0,0.17876131173552773,1000,0.18815,0.43776666666666664
scidocs,full,1536,binary,192.0,0.20159228677504876,1000,0.20945,0.4415666666666667
scidocs,full,1536,binary_sym,192.0,0.1949639391590457,1000,0.20235000000000003,0.4275333333333334
scidocs,mrl,512,binary,64.0,0.17936435270685347,1000,0.18714999999999998,0.40508333333333335
scidocs,mrl,512,binary_sym,64.0,0.16129727784057896,1000,0.16818333333333332,0.37110000000000004
scidocs,mrl,256,binary,32.0,0.15108973534554895,1000,0.15766666666666668,0.3584333333333333
