dataset,method,dim,ndcg@10,n_queries,recall@10,recall@100
scifact,full,1536,0.7296444993227863,300,0.8542222222222222,0.9733333333333334
scifact,mrl,512,0.719328724537484,300,0.8425555555555556,0.9583333333333334
scifact,mrl,256,0.6920149787057173,300,0.8197777777777778,0.945
scifact,mrl,128,0.6185261195391537,300,0.7476111111111111,0.9176666666666667
scifact,mrl,64,0.515243818745,300,0.6504444444444444,0.8513333333333333
scifact,mrl,32,0.3573014739112079,300,0.4895555555555556,0.7183333333333334
scifact,pca_in,512,0.7258161874781063,300,0.8625555555555555,0.95
scifact,pca_in,256,0.7114961689926198,300,0.8503333333333334,0.9533333333333334
scifact,pca_in,128,0.6941981562645549,300,0.8320000000000001,0.9366666666666666
scifact,pca_in,64,0.641583793209781,300,0.7742222222222221,0.9183333333333333
scifact,pca_in,32,0.5600700337944614,300,0.6990000000000001,0.9116666666666666
scifact,pca_ood,512,0.7178787892920652,300,0.8535555555555555,0.97
scifact,pca_ood,256,0.712971323556087,300,0.8402222222222222,0.9566666666666667
scifact,pca_ood,128,0.6721464271286787,300,0.8035555555555556,0.94
scifact,pca_ood,64,0.5994793441982413,300,0.7368888888888889,0.9
scifact,pca_ood,32,0.462630546513212,300,0.5908333333333333,0.8093333333333333
nfcorpus,full,1536,0.38465483877949436,323,0.18370272074401742,0.36193827524258165
nfcorpus,mrl,512,0.3728146365120416,323,0.18277253223902243,0.35359647149314927
nfcorpus,mrl,256,0.35449543777797415,323,0.168304544121775,0.334001385965341
nfcorpus,mrl,128,0.29852044205502615,323,0.13982691063295533,0.29114021425381365
nfcorpus,mrl,64,0.22289157477823984,323,0.10595582736102553,0.23224500872541293
nfcorpus,mrl,32,0.13445773441030592,323,0.0625736594124954,0.17088722366425887
nfcorpus,pca_in,512,0.3662158639524154,323,0.17397591827433823,0.34425800509467686
nfcorpus,pca_in,256,0.3568733186888233,323,0.17351683316258654,0.34305951786644195
nfcorpus,pca_in,128,0.3414505046834254,323,0.16344414159712736,0.34535662555711427
nfcorpus,pca_in,64,0.3077802074623355,323,0.14589866356576062,0.31292109975929083
nfcorpus,pca_in,32,0.2430700375794009,323,0.11375185663568778,0.27527643675972013
nfcorpus,pca_ood,512,0.38508426293791087,323,0.1885880005679242,0.3576777493773288
nfcorpus,pca_ood,256,0.3814833680906846,323,0.18494785018232882,0.3570364647525552
nfcorpus,pca_ood,128,0.35806554695194115,323,0.1767754621955335,0.34621969807246844
nfcorpus,pca_ood,64,0.29540129984047886,323,0.14295995135385503,0.29904703731066645
nfcorpus,pca_ood,32,0.17814153361421736,323,0.09318986701526392,0.22638461364444848
arguana,full,1536,0.5573117070922252,1406,0.8570412517780939,0.9921763869132291
arguana,mrl,512,0.5523548243628974,1406,0.852773826458037,0.9921763869132291
arguana,mrl,256,0.5391896986492701,1406,0.8435277382645804,0.9871977240398293
arguana,mrl,128,0.5079089339346408,1406,0.7901849217638691,0.9829302987197724
arguana,mrl,64,0.46006553368595837,1406,0.7375533428165008,0.9559032716927454
arguana,mrl,32,0.3421742222812932,1406,0.5753911806543386,0.8541963015647226
arguana,pca_in,512,0.5600484381703883,1406,0.8598862019914651,0.9928876244665719
arguana,pca_in,256,0.5532380186581125,1406,0.8506401137980085,0.9914651493598862
arguana,pca_in,128,0.5307354826908705,1406,0.8300142247510669,0.9893314366998578
arguana,pca_in,64,0.48930101925041225,1406,0.7894736842105263,0.9836415362731152
arguana,pca_in,32,0.39957562701816957,1406,0.6770981507823614,0.9722617354196301
arguana,pca_ood,512,0.5623175520838619,1406,0.8577524893314367,0.9921763869132291
arguana,pca_ood,256,0.5692512733943951,1406,0.8549075391180654,0.9928876244665719
arguana,pca_ood,128,0.5504282641558842,1406,0.837126600284495,0.9886201991465149
arguana,pca_ood,64,0.5129022119343508,1406,0.7937411095305832,0.9800853485064012
arguana,pca_ood,32,0.42097879564624385,1406,0.6621621621621622,0.9267425320056899
fiqa,full,1536,0.4483551853486882,648,0.5218286043517525,0.7793330940321681
fiqa,mrl,512,0.4361309817678413,648,0.5091244917633806,0.7650505358838692
fiqa,mrl,256,0.401535354406092,648,0.47352735998569334,0.7420775298090113
fiqa,mrl,128,0.3403621853362015,648,0.39775146835332026,0.6749619850314295
fiqa,mrl,64,0.23454923117060994,648,0.29303905542331465,0.5418118875294802
fiqa,mrl,32,0.10986225100732402,648,0.145501437862549,0.3452584109991517
fiqa,pca_in,512,0.43252768414115395,648,0.5105600161155717,0.7814281568911198
fiqa,pca_in,256,0.4185893547340602,648,0.49724370708167004,0.7775890219177256
fiqa,pca_in,128,0.38213534186212855,648,0.4520623024095246,0.7456661051568458
fiqa,pca_in,64,0.33197826082621934,648,0.41166199198606607,0.692320646603054
fiqa,pca_in,32,0.22858787197828193,648,0.29803214189788263,0.5981780907706833
fiqa,pca_ood,512,0.4359216274822564,648,0.5111001395723619,0.7730065459232125
fiqa,pca_ood,256,0.4216611503547115,648,0.49452462403851294,0.7584691414552525
fiqa,pca_ood,128,0.3780280749812584,648,0.4437388229054895,0.7243935976574866
fiqa,pca_ood,64,0.3098673126408338,648,0.38170197429456687,0.6548878590545257
fiqa,pca_ood,32,0.1996939987233118,648,0.2466330865636421,0.5102720967304301
scidocs,full,1536,0.20767751712776852,1000,0.21705000000000002,0.4530833333333334
scidocs,mrl,512,0.1995543465902026,1000,0.20755,0.43570000000000003
scidocs,mrl,256,0.18138296777855129,1000,0.18926666666666667,0.4079166666666667
scidocs,mrl,128,0.15430876165166374,1000,0.16196666666666668,0.35045000000000004
scidocs,mrl,64,0.11069712602147007,1000,0.11558333333333334,0.27786666666666665
scidocs,mrl,32,0.06271602121045423,1000,0.06793333333333333,0.1955
scidocs,pca_in,512,0.2026624027865933,1000,0.212,0.45643333333333336
